State,City,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,Total,Longitude,Latitude
,Virginia Beach,,,,,,,,,,,,,,2,2,5,5,3,8,10,6,3,1,10,10,5,10,6,5,7,3,11,17,5,9,7,16,12,15,17,9,12,14,26,17,288,36.8516,75.9792
,"St. Petersburg, FL",,,,,,,,,,,,,,,,,,,,,,,,,,3,7,9,2,10,9,33,13,15,24,32,22,32,26,17,25,23,19,25,,346,27.7671,82.6384
,"Orlando, FL",14,8,5,14,7,6,2,12,2,6,3,6,4,12,6,9,6,5,9,2,7,8,5,3,5,4,11,5,12,16,7,13,10,26,18,16,10,16,8,20,31,20,1,1,1,412,28.5384,81.3789
FL,Florida,14,8,5,14,7,6,2,12,2,6,3,6,4,14,8,14,11,8,17,12,13,11,6,13,15,12,28,20,19,33,19,57,40,46,51,55,48,60,49,54,65,55,34,52,18,1046,,
GA,Atlanta,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,24,17,19,14,16,23,18,16,12,23,26,16,12,14,13,46,68,57,60,133,146,156,134,160,206,212,308,293,278,265,2831,33.7488,84.3877
ID,"Boise, ID",3,0,0,1,0,2,0,0,2,1,1,2,0,1,1,0,0,0,1,0,1,2,1,2,1,1,1,0,1,1,0,0,0,1,1,1,1,5,3,2,0,0,1,1,2,44,43.615,116.2023
,Chicago,46,36,40,38,40,70,57,60,55,39,44,52,61,56,40,54,50,37,47,53,55,69,68,65,71,85,61,65,65,45,127,443,660,882,1431,1418,1178,1229,877,867,810,810,816,802,680,14654,41.8781,87.6298
,"Aurora, IL",1,0,1,0,0,1,1,2,0,0,1,1,1,0,3,3,2,3,0,0,3,1,0,0,1,3,1,2,0,0,0,0,0,0,2,4,1,8,2,5,3,19,18,45,6,144,41.7606,88.3201
IL,Illinois,47,36,41,38,40,71,58,62,55,39,45,53,62,56,43,57,52,40,47,53,58,70,68,65,72,88,62,67,65,45,127,443,660,882,1433,1422,1179,1237,879,872,813,829,834,847,686,14798,,
KS,"Wichita, KS",3,4,5,11,0,4,2,5,15,10,4,11,11,11,9,11,4,3,5,6,6,4,7,5,5,5,5,9,8,8,14,7,3,11,21,13,11,9,6,7,4,8,6,9,8,333,37.6872,97.3301
KY,Louisville,14,18,10,14,20,11,23,20,18,17,23,11,33,35,15,19,19,20,16,22,22,17,20,24,19,19,22,20,11,16,32,76,60,57,149,122,172,260,297,227,267,236,241,335,311,3410,38.2527,85.7585
,Baltimore,35,38,30,28,28,21,21,28,31,41,33,33,24,34,25,27,27,43,33,19,28,45,34,32,44,47,33,34,31,31,45,69,91,75,112,108,131,,,,,,,,,1589,39.2904,76.6122
,"Montgomery County, MD",2,1,1,5,1,1,1,2,6,3,1,1,4,6,6,1,2,2,4,8,3,3,1,6,4,4,9,2,4,4,4,5,7,5,5,21,30,48,61,71,28,44,43,69,85,624,39.1547,77.2405
MD,,37,39,31,33,29,22,22,30,37,44,34,34,28,40,31,28,29,45,37,27,31,48,35,38,48,51,42,36,35,35,49,74,98,80,117,129,161,48,61,71,28,44,43,69,85,2213,,
MN,"Minneapolis, MN",22,30,18,19,19,23,26,26,21,15,18,27,29,28,36,14,16,26,25,17,14,20,23,31,65,35,31,35,57,98,249,246,205,301,462,447,324,419,560,651,586,451,230,332,396,6723,44.9778,93.265
NB,Omaha,11,19,13,17,11,14,13,23,16,19,27,13,16,21,21,12,11,16,14,21,14,22,23,10,14,13,29,22,20,20,34,76,90,31,64,124,132,91,101,118,130,192,197,293,120,2308,41.2565,95.9345
,"Raleigh, NC",5,5,2,3,2,1,4,2,4,1,3,4,1,4,2,3,4,1,6,6,4,5,2,4,1,6,2,4,4,4,5,10,9,3,3,2,4,11,10,13,16,23,29,23,22,282,35.7796,78.6382
,"Durham, NC",5,9,3,9,4,10,9,6,7,5,8,9,9,11,2,2,1,2,2,1,7,6,3,3,2,5,5,6,5,7,8,8,7,9,6,15,14,27,31,68,76,130,138,132,113,945,35.994,78.8986
NC,North Carolina,10,14,5,12,6,11,13,8,11,6,11,13,10,15,4,5,5,3,8,7,11,11,5,7,3,11,7,10,9,11,13,18,16,12,9,17,18,38,41,81,92,153,167,155,135,1227,,
,"Reno, NV",,,,1,1,2,2,1,4,4,4,3,3,0,2,5,5,2,1,5,2,2,2,4,2,2,1,4,0,1,2,0,1,3,1,6,2,4,5,1,4,2,3,5,24,128,39.5299,119.8143
